symbol	ID	name	location	list	UNCcoxP	UNCcoxB	ICGCcoxP	ICGCcoxB
GJB6	10804	A_23_P2745	chr13:19695060-19695001	basal	0.139	0.193	0.005	0.248
GNGT1	2792	A_23_P123096	chr7:93374085-93378091	basal	0.028	0.264	0.833	-0.030
GPR110	266977	A_23_P365218	chr6:47097661-47096434	basal	0.014	0.403	0.824	-0.040
GPR81	27198	A_23_P394246	chr12:121776814-121776755	basal	0.951	0.006	0.450	0.143
GPR87	53836	A_23_P121120	chr3:152495031-152494972	basal	0.063	0.130	0.112	0.146
HAS3	3038	A_23_P357229	chr16:67709926-67709985	basal	0.256	0.180	0.062	0.254
HES2	54626	A_23_P304716	chr1:6398383-6398324	basal	0.396	0.098	0.789	0.050
HMGA2	8091	A_23_P95930	chr12:64646056-64646115	basal	0.001	0.320	0.115	0.561
HN1L	90861	A_23_P434900	chr16:1691290-1691349	basal	0.861	-0.033	0.965	0.012
HPS3	84343	A_23_P40821	chr3:150372936-150372994	basal	0.621	-0.106	0.378	0.176
HS3ST1	9957	A_23_P121657	chr4:11009827-11009768	basal	0.139	0.132	0.371	-0.105
IGF2BP3	10643	A_23_P19987	chr7:23317353-23317294	basal	0.038	0.145	0.326	0.070
IKZF2	22807	A_23_P323872	chr2:213579728-213579669	basal	0.106	0.496	0.956	-0.029
IL18	3606	A_23_P104798	chr11:111526080-111526021	basal	0.845	0.026	0.731	0.093
IL1A	3552	A_23_P72096	chr2:113248892-113248833	basal	0.026	0.250	0.049	0.169
IL1F5	26525	A_23_P39856	chr2:113538594-113538653	basal	0.165	0.694	0.917	0.072
IL20RB	53833	A_23_P91850	chr3:138212488-138212547	basal	0.124	0.085	0.009	0.188
INPP4B	8821	A_24_P915492	chr4:143567772-143567713	basal	0.190	0.250	0.432	-0.121
IRF6	3664	A_23_P748	chr1:208029645-208028564	basal	0.064	0.230	0.670	0.068
ITGA2	3673	A_32_P178800	chr5:52425394-52425453	basal	0.141	0.189	0.796	-0.046
ITGA3	3675	A_23_P55251	chr17:45522364-45522423	basal	0.051	0.214	0.028	0.491
ITGA6	3655	A_23_P210176	chr2:173078802-173078861	basal	0.721	0.048	0.193	0.322
ITGB4	3691	A_23_P66355	chr17:71265173-71265232	basal	0.010	0.301	0.456	-0.149
ITGB6	3694	A_23_P154217	chr2:160672479-160666576	basal	0.006	0.278	0.667	0.057
IVL	3713	A_23_P353524	chr1:151150596-151150655	basal	0.325	0.123	0.802	-0.150
JMJD1A	55818	A_23_P258037	chr2:86572862-86572921	basal	0.417	-0.200	0.803	0.051
KCNN4	3783	A_23_P67529	chr19:48962835-48962776	basal	0.142	0.117	0.311	-0.114
KIAA1609	57707	A_24_P213924	chr16:83069290-83069231	basal	0.331	0.221	0.695	0.123
KIAA1772	80000	A_23_P119040	chr18:17339778-17339837	basal	0.143	0.432	0.495	0.339
KLF7	8609	A_23_P67980	chr2:207653872-207653813	basal	0.225	0.243	0.864	0.058
KLK6	5653	A_24_P236935	chr19:56158596-56158537	basal	0.098	0.172	0.575	-0.061
KLK8	11202	A_23_P369343	chr19:56191187-56191128	basal	0.113	0.069	0.663	0.055
KRT13	3860	A_24_P228149	chr17:36914835-36913446	basal	0.766	0.026	0.033	0.108
KRT14	3861	A_24_P265346	chr17:36993133-36993074	basal	0.014	0.199	0.021	0.161
KRT15	3866	A_23_P27133	chr17:36923727-36923668	basal	0.077	0.138	0.065	0.235
KRT16	3868	A_23_P38537	chr17:37020890-37020742	basal	0.026	0.143	0.351	0.069
KRT17	3872	A_23_P96158	chr17:37030561-37030502	basal	0.010	0.151	0.384	0.074
KRT17P3	729682	A_24_P887857	chr17:25920022-25919964	basal	0.005	0.166	0.274	0.169
KRT19	3880	A_23_P66798	chr17:36933503-36933444	basal	0.018	0.234	0.848	-0.023
KRT19P2	160313	A_23_P353865	chr12:93752413-93752472	basal	0.124	0.197	1.000	0.000
KRT23	25984	A_23_P78248	chr17:36332547-36332488	basal	0.937	-0.005	0.248	-0.204
KRT33A	3883	A_23_P78265	chr17:36758391-36758332	basal	0.099	0.187	0.103	1.274
KRT5	3852	A_23_P218047	chr12:51194948-51194889	basal	0.257	0.055	0.382	0.053
KRT6A	3853	A_23_P87653	chr12:51168391-51167995	basal	0.177	0.066	0.064	0.085
KRT6B	3854	A_23_P76249	chr12:51126882-51126823	basal	0.490	0.039	0.623	0.054
KRT6C	286887	A_23_P366936	chr12:51150591-51149918	basal	0.253	0.065	0.005	0.130
KRT7	3855	A_23_P381945	chr12:50917564-50918733	basal	0.054	0.153	0.425	0.095
KRT80	144501	A_24_P349264	chr12:50860620-50853813	basal	0.090	0.444	0.485	0.075
LAMA3	3909	A_24_P179569	chr18:19707174-19710311	basal	0.000	0.481	0.430	0.177
LAMB3	3914	A_23_P86012	chr1:207854960-207854901	basal	0.004	0.241	0.800	0.096
LAMC2	3918	A_23_P160968	chr1:181475924-181476076	basal	0.003	0.240	0.581	0.079
LCN2	3934	A_23_P169437	chr9:129954065-129954124	basal	0.459	0.041	0.012	-0.172
LEMD1	93273	A_24_P696761	chr1:203617446-203617387	basal	0.023	0.144	0.360	-0.073
LGALS7	3963	A_24_P238250	chr19:43953554-43953495	basal	0.065	0.096	0.645	-0.033
LOC100133869	100133869	A_24_P152325	chr7:5566927-5566986	basal	0.313	0.224	1.000	0.000
LOC145757	145757	A_32_P145039	chr15:99221222-99221281	basal	0.175	0.289	1.000	0.000
LOC284120	284120	A_23_P250516	chr17:74125293-74125234	basal	0.167	0.229	1.000	0.000
LOC728034	728034	A_32_P93144	chr9:42801706-42802107	basal	0.140	0.228	0.706	0.096
LRRC8A	56262	A_23_P250274	chr9:130720048-130720107	basal	0.599	-0.073	0.067	0.274
LY6D	8581	A_23_P134764	chr8:143863453-143863394	basal	0.266	0.047	0.280	0.081
MAPK13	5603	A_23_P145376	chr6:36214728-36214787	basal	0.068	0.328	0.384	-0.199
MBOAT2	129642	A_24_P114255	chr2:8914684-8914625	basal	0.746	0.040	0.074	0.240
MET	4233	A_23_P359245	chr7:116225526-116225585	basal	0.192	0.153	0.533	0.108
MFI2	4241	A_23_P212042	chr3:198217862-198215354	basal	0.145	0.209	0.106	0.503
MIG7	723788	A_32_P63562	chr1:93991488-93991429	basal	0.029	0.351	1.000	0.000
MMP10	4319	A_23_P13094	chr11:102146674-102146615	basal	0.406	0.069	0.388	0.089
MMP13	4322	A_23_P138931	chr11:102320295-102320236	basal	0.201	0.144	0.053	0.282
MPZL2	10205	A_23_P150379	chr11:117633125-117633066	basal	0.624	0.068	0.983	0.003
MTL5	9633	A_23_P161507	chr11:68231586-68231527	basal	0.058	0.441	0.440	0.259
MUC16	94025	A_23_P5211	chr19:8829923-8827801	basal	0.392	0.082	0.143	0.086
NAB1	4664	A_23_P209805	chr2:191263394-191263453	basal	0.745	-0.070	0.174	0.396
NGEF	25791	A_23_P102364	chr2:233451771-233451712	basal	0.197	0.164	0.260	0.187
NMB	4828	A_23_P88522	chr15:82999465-82999406	basal	0.177	0.181	0.093	0.300
NMU	10874	A_23_P69537	chr4:56156262-56156203	basal	0.552	0.036	0.457	0.064
NTF4	4909	A_23_P4899	chr19:54256346-54256287	basal	0.151	0.172	0.233	0.419
NUP62CL	54830	A_23_P33914	chrX:106253659-106253600	basal	0.034	0.321	0.925	-0.015
P2RY2	5029	A_23_P24903	chr11:72624564-72624623	basal	0.002	0.305	0.010	0.818
PAEP	5047	A_23_P257129	chr9:137595912-137595971	basal	0.605	0.078	0.632	0.054
PAK6	56924	A_24_P159227	chr15:38356620-38356679	basal	0.015	0.456	0.023	0.418
PERP	64065	A_23_P214950	chr6:138453808-138453749	basal	0.629	0.061	0.211	-0.160
PHACTR3	116154	A_23_P28834	chr20:57855831-57855890	basal	0.338	0.064	0.070	0.219
PKIB	5570	A_23_P145529	chr6:123088036-123088095	basal	0.519	0.072	0.179	0.314
PLAG1	5324	A_23_P411723	chr8:57236567-57236508	basal	0.002	0.373	0.008	0.800
PLEK2	26499	A_23_P151506	chr14:66923623-66923564	basal	0.111	0.140	0.090	0.289
PMAIP1	5366	A_23_P207999	chr18:55721258-55721317	basal	0.002	0.508	0.246	0.168
PMEPA1	56937	A_23_P57089	chr20:55660501-55660442	basal	0.070	0.201	0.457	0.149
PODXL	5420	A_23_P215060	chr7:130835734-130835675	basal	0.065	-0.227	0.009	0.560
PPL	5493	A_23_P106906	chr16:4873128-4873069	basal	0.988	-0.002	0.163	0.218
PPM2C	54704	A_23_P123336	chr8:95005407-95005466	basal	0.957	0.011	0.735	-0.050
PPP1R13L	10848	A_23_P119095	chr19:50574912-50574853	basal	0.104	0.201	0.869	-0.028
PPP1R14C	81706	A_23_P45011	chr6:150612630-150612689	basal	0.324	0.101	0.337	0.094
PRB1	5542	A_23_P128263	chr12:11396089-11396030	basal	0.295	0.108	0.991	-0.002
PRB2	653247	A_23_P139434	chr12:11435765-11435741	basal	0.137	0.156	0.914	-0.014
PROM2	150696	A_23_P154358	chr2:95320245-95320304	basal	0.538	0.055	0.397	-0.059
PRSS22	64063	A_23_P400298	chr16:2842841-2842782	basal	0.117	0.156	0.983	0.002
PSCA	8000	A_23_P71379	chr8:143760978-143761037	basal	0.176	0.097	0.539	-0.034
PTGES	9536	A_24_P403417	chr9:131541390-131541331	basal	0.090	0.266	0.351	0.089
PTHLH	5744	A_24_P923612	chr12:28006159-28006100	basal	0.607	0.105	0.003	0.335
PVRL1	5818	A_24_P50890	chr11:119037219-119037160	basal	0.040	0.289	0.052	0.783
RAB38	23682	A_23_P161563	chr11:87522657-87522598	basal	0.044	0.461	0.295	0.186
REEP3	221035	A_23_P75033	chr10:65039971-65040030	basal	0.056	0.348	0.446	0.137
RGS20	8601	A_23_P73097	chr8:55033997-55034056	basal	0.048	0.438	0.002	0.719
RHCG	51458	A_23_P151975	chr15:87815818-87815759	basal	0.381	0.070	0.041	0.358
RHOD	29984	A_23_P1523	chr11:66594512-66594571	basal	0.106	0.300	0.018	0.414
RHOV	171177	A_23_P424561	chr15:38952298-38952239	basal	0.308	0.111	0.572	0.113
RIOK3	8780	A_23_P55584	chr18:19315384-19315443	basal	0.787	-0.043	0.098	0.434
RNF2	6045	A_23_P85543	chr1:183335654-183335713	basal	0.304	-0.229	0.698	0.176
ROD1	9991	A_24_P916614	chr9:114021021-114020962	basal	0.136	0.335	0.640	-0.210
RSPH3	83861	A_23_P59397	chr6:159318507-159318448	basal	0.006	0.693	0.012	0.608
RTKN2	219790	A_24_P13041	chr10:63623290-63623231	basal	0.252	0.191	0.727	0.115
S100A2	6273	A_23_P201706	chr1:151800549-151800490	basal	0.030	0.094	0.019	0.168
S100A4	6275	A_23_P94800	chr1:151782881-151782822	basal	0.070	0.139	0.965	0.005
SAMD9	54809	A_23_P219072	chr7:92569151-92569092	basal	0.851	0.029	0.923	-0.017
SCEL	8796	A_23_P500000	chr13:77116565-77116624	basal	0.115	0.102	0.068	0.192
SCNN1A	6337	A_23_P128323	chr12:6326996-6326937	basal	0.584	0.062	0.585	-0.067
SERPINB3	6317	A_23_P55632	chr18:59473806-59473747	basal	0.140	0.080	0.623	0.037
SERPINB4	6318	A_23_P502413	chr18:59455964-59455905	basal	0.048	0.100	0.500	-0.069
SERPINB5	5268	A_24_P212086	chr18:59311228-59311287	basal	0.027	0.249	0.969	0.003
SERTAD4	56256	A_23_P318904	chr1:208482657-208482716	basal	0.270	-0.171	0.004	-0.322
SH3TC2	79628	A_32_P305888	chr5:148361220-148361161	basal	0.224	0.284	0.049	2.149
SLC2A1	6513	A_23_P571	chr1:43164520-43164461	basal	0.174	0.107	0.310	0.123
SLK	9748	A_23_P202199	chr10:105775625-105775684	basal	0.664	-0.106	0.442	0.221
SMAD3	4088	A_23_P48936	chr15:65274445-65274504	basal	0.942	0.011	0.279	0.238
SMURF1	57154	A_23_P398254	chr7:98468602-98466190	basal	0.414	-0.176	0.421	0.409
SPERT	220082	A_32_P56604	chr13:45186620-45186679	basal	0.618	-0.089	0.095	-0.851
SPINT2	10653	A_23_P27795	chr19:43474699-43474758	basal	0.035	0.263	0.551	-0.103
SPRR1B	6699	A_23_P159406	chr1:151271928-151271987	basal	0.319	0.061	0.931	-0.008
SPRR2D	6703	A_23_P11644	chr1:151279036-151278977	basal	0.660	0.040	0.415	-0.190
SPRR3	6707	A_23_P62709	chr1:151242854-151242913	basal	0.537	0.031	0.914	0.006
SRCAP	10847	A_24_P941279	chr16:30662876-30662935	basal	0.027	0.516	0.337	-0.295
ST3GAL4	6484	A_23_P393856	chr11:125815877-125815936	basal	0.376	0.220	0.944	-0.010
STYK1	55359	A_23_P13822	chr12:10663180-10663121	basal	0.006	0.255	0.688	-0.107
SVOPL	136306	A_23_P307860	chr7:137929645-137929586	basal	0.904	-0.016	0.590	0.119
SYT8	90019	A_23_P36187	chr11:1814778-1814837	basal	0.132	0.099	0.092	0.139
TACSTD2	4070	A_23_P149529	chr1:58814056-58813997	basal	0.286	0.092	0.631	-0.058
TCTEX1D2	255758	A_23_P21162	chr3:197502604-197502545	basal	0.845	-0.029	0.217	0.249
TGFA	7039	A_23_P377291	chr2:70528886-70528827	basal	0.808	-0.039	0.183	0.272
TGFB2	7042	A_24_P402438	chr1:216681407-216681466	basal	0.827	0.029	0.185	0.253
TGM2	7052	A_32_P86763	chr20:36191326-36191267	basal	0.034	0.220	0.016	0.374
TINAGL1	64129	A_24_P199774	chr1:31824064-31825039	basal	0.693	-0.082	0.932	0.009
TMC7	79905	A_23_P140928	chr16:18981511-18981570	basal	0.093	0.220	0.086	0.229
TMPRSS11E	28983	A_23_P18751	chr4:69025869-69025928	basal	0.038	0.278	0.832	-0.078
TNS4	84951	A_23_P207850	chr17:35885683-35885624	basal	0.347	0.045	0.007	0.308
TP63	8626	A_24_P273756	chr3:191069127-191069186	basal	0.030	0.236	0.122	0.217
TPBG	7162	A_23_P59261	chr6:83132780-83132839	basal	0.796	-0.038	0.800	-0.047
TRERF1	55809	A_24_P217904	chr6:42301508-42301449	basal	0.500	0.142	0.094	1.024
TRIM29	23650	A_23_P203267	chr11:119487552-119487493	basal	0.818	-0.023	0.492	-0.079
TRIP10	9322	A_23_P50349	chr19:6701570-6701629	basal	0.015	0.518	0.421	0.108
TTC9	23508	A_24_P273738	chr14:70211097-70211156	basal	0.822	0.054	0.834	0.041
UBA6	55236	A_24_P166144	chr4:68167437-68167378	basal	0.016	0.590	0.571	0.145
UBE2H	7328	A_23_P145584	chr7:129262005-129261946	basal	0.331	-0.224	0.423	0.180
UCA1	652995	A_32_P200238	chr19:15807035-15807092	basal	0.101	0.113	0.617	0.054
ULBP2	80328	A_23_P145485	chr6:150309407-150309466	basal	0.144	0.281	0.015	0.248
VGLL1	51442	A_23_P253123	chrX:135466398-135466457	basal	0.335	0.099	0.325	0.087
VSTM2L	128434	A_23_P79803	chr20:36006976-36007035	basal	0.845	0.014	0.259	0.084
WFDC2	10406	A_24_P14464	chr20:43532492-43532551	basal	0.275	0.092	0.190	-0.309
WISP3	8838	A_23_P81676	chr6:112496166-112496225	basal	0.067	0.148	0.402	0.129
WNT10A	80326	A_23_P102117	chr2:219466637-219466696	basal	0.098	0.122	0.822	-0.019
WNT7A	7476	A_23_P258410	chr3:13835911-13835852	basal	0.217	0.167	0.071	0.157
WNT7B	7477	A_23_P320054	chr22:44696910-44696851	basal	0.376	0.232	0.006	0.460
ZBED2	79413	A_23_P113793	chr3:112794594-112794535	basal	0.082	0.117	0.016	0.201
ZDHHC20	253832	A_23_P341418	chr13:20844847-20844788	basal	0.076	0.395	0.064	0.515
ZFAND2A	90637	A_23_P336992	chr7:1163875-1161745	basal	0.435	-0.173	0.039	0.436
ZNF165	7718	A_23_P93269	chr6:28165166-28165225	basal	0.492	0.100	0.979	0.004
ZNF185	7739	A_23_P11025	chrX:151892288-151892347	basal	0.179	0.209	0.205	0.202
ZNF3	7551	A_23_P219084	chr7:99506279-99506220	basal	0.581	-0.206	0.425	-0.508
ZNF750	79755	A_23_P141191	chr17:78381089-78381030	basal	0.346	0.143	0.087	0.219
ABCC3	8714	A_23_P207507	chr17:46123700-46123759	classical	0.471	0.064	0.344	-0.336
ABP1	26	A_23_P59452	chr7:150185993-150186052	classical	0.451	-0.089	0.001	-0.298
ACSL5	51703	A_24_P201360	chr10:114175146-114175205	classical	0.484	-0.069	0.551	-0.176
ADAP1	11033	A_23_P145865	chr7:904933-904874	classical	0.950	0.014	0.324	-0.111
AGR2	10551	A_23_P31407	chr7:16805907-16803799	classical	0.702	0.025	0.011	-0.211
AGR3	155465	A_23_P42811	chr7:16879992-16879933	classical	0.628	-0.034	0.071	-0.155
AHCYL2	23382	A_23_P252075	chr7:128851982-128852161	classical	0.955	-0.009	0.035	-0.249
AKR1B10	57016	A_24_P129341	chr7:133876339-133876398	classical	0.617	-0.026	0.251	-0.067
AKR1C3	8644	A_23_P138541	chr10:5137789-5137848	classical	0.784	-0.034	0.217	-0.231
ANXA10	11199	A_23_P58328	chr4:169345139-169345198	classical	0.669	-0.021	0.067	-0.105
ANXA13	312	A_23_P60006	chr8:124762276-124762217	classical	0.708	0.028	0.087	-0.174
APOBEC1	339	A_23_P14019	chr12:7696388-7696329	classical	0.638	0.043	0.697	-0.031
AQP5	362	A_23_P366812	chr12:48645088-48645147	classical	0.557	0.043	0.106	-0.121
ARHGEF16	27237	A_23_P114670	chr1:3387339-3387398	classical	0.121	0.167	0.064	-0.221
ARL14	80117	A_23_P92161	chr3:161878342-161878401	classical	0.393	0.064	0.763	-0.033
ASPHD2	57168	A_24_P245815	chr22:25170444-25170503	classical	0.488	0.095	0.194	-0.163
ATAD4	79170	A_23_P118894	chr17:43384447-43384388	classical	0.179	-0.109	1.000	0.000
ATP10B	23120	A_23_P311901	chr5:159923203-159923144	classical	0.800	0.026	0.025	-0.180
ATP1B1	481	A_23_P62932	chr1:167368501-167368560	classical	0.099	0.234	0.333	-0.182
ATP2C2	9914	A_23_P117992	chr16:83054944-83055003	classical	0.981	-0.002	0.362	-0.108
ATP7B	540	A_23_P205228	chr13:51405095-51405036	classical	0.393	-0.127	0.003	-0.549
BACE2	25825	A_23_P154875	chr21:41569566-41569625	classical	0.100	-0.266	0.063	-0.257
BAIAP2L2	80115	A_23_P379034	chr22:36810912-36810853	classical	0.906	0.015	0.012	-0.226
BCAS1	8537	A_23_P17420	chr20:51994940-51994881	classical	0.776	0.025	0.011	-0.235
BCL2L14	79370	A_23_P128050	chr12:12143442-12143501	classical	0.629	0.081	0.570	0.471
BMP4	652	A_23_P54144	chr14:53487127-53487068	classical	0.377	-0.113	0.942	-0.021
BTNL3	10917	A_23_P158297	chr5:180365870-180365929	classical	0.613	-0.044	0.939	0.027
BTNL8	79908	A_23_P7412	chr5:180310378-180310437	classical	0.862	0.010	0.137	-0.349
C11orf86	254439	A_24_P392151	chr11:66499669-66500266	classical	0.494	0.074	0.086	-0.940
C11orf9	745	A_23_P75790	chr11:61312362-61312421	classical	0.703	-0.040	0.091	-0.211
C17orf76	388341	A_23_P368484	chr17:16286153-16286094	classical	0.829	-0.030	0.788	0.090
C17orf78	284099	A_23_P335388	chr17:32823638-32823697	classical	0.561	0.063	0.543	-0.187
C19orf21	126353	A_23_P390068	chr19:714774-714833	classical	0.488	0.071	0.625	-0.071
C19orf69	100170765	A_32_P66843	chr19:46642232-46642291	classical	0.173	0.222	0.705	0.065
C1orf106	55765	A_23_P1043	chr1:199150966-199151025	classical	0.485	0.118	0.011	-0.249
C1orf125	126859	A_23_P356425	chr1:177790378-177790437	classical	0.853	0.020	0.018	-0.504
C1orf210	149466	A_32_P42946	chr1:43521143-43521084	classical	0.167	0.272	0.198	-0.335
C1orf225	388610	A_24_P734953	chr1:27199088-27199147	classical	0.543	-0.057	1.000	0.000
